Team,Player,Role,Nation
Mumbai,Mohammad Nabi,All-rounder,Afghanistan
Sunrisers,Abdul Samad,All-rounder,India
Titans,Abhinav Manohar,Batsman,India
Capitals,Abishek Porel,WT-Batsman,India
Sunrisers,Abhishek Sharma,All-rounder,India
Royals,Abid Mushtaq,All-rounder,India
Royals,Adam Zampa,Bowler,Australia
Sunrisers,Aiden Markram,Batsman,South Africa
Super Kings,Ajay Mandal,Bowler,India
Super Kings,Ajinkya Rahane,Batsman,India
RCB,Akash Deep,Bowler,India
Mumbai,Akash Madhwal,Bowler,India
Sunrisers,Akash Singh,Bowler,India
RCB,Alzarri Joseph,Bowler,West Indies
Super Giants,Amit Mishra,Bowler,India
KKR,Andre Russell,All-rounder,West Indies
KKR,Angkrish Raghuvanshi,Batsman,India
Sunrisers,Anmolpreet Singh,Batman,India
Capitals,Anrich Nortje,Bowler,South Africa
Mumbai,Anshul Kamboj,All-rounder,India
RCB,Anuj Rawat ,WK-Batsman,India
KKR,Anukul Roy,All-rounder,India
Mumbai,Arjun Tendulkar,All-rounder,India
Super Giants,Arshad Khan,All-rounder,India
Punjab Kings,Arshdeep Singh,Bowler,India
Super Giants,Arshin Kulkarni,All-rounder,India
Super Giants,Ashton Turner,Batsman,Australia
Punjab Kings,Ashutosh Sharma,All-rounder,India
Punjab Kings,Atharva Taide,All-rounder,India
Super Kings,Avanish Rao Aravelly,WK-Batsman,India
Royals,Avesh Khan,Bowler,India
Capitals,Axar Patel,All-rounder,India
Super Giants,Ayush Badoni,All-rounder,India
Titans,Azmatullah Omarzai,All-rounder,Afghanistan
Sunrisers,Bhuvneshwar Kumar,Bowler,India
RCB,Cameron Green,Allrounder,Australia
KKR,Chetan Sakariya,Bowler,India
Punjab Kings,Chris Woakes,All-rounder,England
Titans,Darshan Nalkande,Bowler,India
Super Kings,Daryl Mitchell,All-rounder,New Zealand
Titans,David Miller,Batsman,South Africa
Capitals,David Warner,Batsman,Australia
Super Giants,David Willey,All-rounder,England
Super Kings,Deepak Chahar,Bowler,India
Super Giants,Deepak Hooda,All-rounder,India
Super Giants,Devdutt Padikkal,Batsman,India
Super Kings,Devon Conway,Batsman,New Zealand
Mumbai,Dewald Brevis,Batsman,India
Royals,Dhruv Jurel ,WK-Batsman,India
Mumbai,Dilshan Madushanka,Bowler,Sri Lanka
RCB,Dinesh Karthik ,WK-Batsman,India
Royals,Donovan Ferreira,WK-Batsman,South Africa
KKR,Dushmantha Chameera,Bowler,Sri Lanka
RCB,Fafdu Plessis,Batsman,South Africa
Sunrisers,Fazalhaq Farooqi,Bowler,Afghanistan
Mumbai,Gerald Coetzee,All-rounder,South Africa
RCB,Glenn Maxwell,All-rounder,Australia
Sunrisers,Glenn Phillips ,WK-Batsman,New Zealand
